[0116].[12488].[11368].[2021.04.05.01.22.04.601546].SRV1.INF:Main.py.on_data_ready.47:Cx=83 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0117].[12488].[11368].[2021.04.05.01.22.04.611554].SRV1.INF:Main.py.on_data_ready.47:Cx=84 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B480>
[0118].[12488].[11368].[2021.04.05.01.22.04.619559].SRV1.INF:Main.py.on_data_ready.47:Cx=85 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0119].[12488].[11368].[2021.04.05.01.22.04.627565].SRV1.INF:Main.py.on_data_ready.47:Cx=86 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0120].[12488].[11368].[2021.04.05.01.22.04.637570].SRV1.INF:Main.py.on_data_ready.47:Cx=87 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0121].[12488].[11368].[2021.04.05.01.22.04.646578].SRV1.INF:Main.py.on_data_ready.47:Cx=88 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0122].[12488].[11368].[2021.04.05.01.22.04.654583].SRV1.INF:Main.py.on_data_ready.47:Cx=89 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0123].[12488].[11368].[2021.04.05.01.22.04.664588].SRV1.INF:Main.py.on_data_ready.47:Cx=90 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0124].[12488].[11368].[2021.04.05.01.22.04.672593].SRV1.INF:Main.py.on_data_ready.47:Cx=91 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0125].[12488].[11368].[2021.04.05.01.22.04.680599].SRV1.INF:Main.py.on_data_ready.47:Cx=92 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0126].[12488].[11368].[2021.04.05.01.22.04.688604].SRV1.INF:Main.py.on_data_ready.47:Cx=93 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
